"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",39.2,0
"Cold stable",39.3,0
"Cold stable",39.4,0
"Cold stable",39.5,0
"Cold stable",39.6,0
"Cold stable",39.7,0
"Cold stable",39.8,0
"Cold stable",39.9,0
"Cold stable",40,0
"Cold stable",40.1,0
"Cold stable",40.2,0
"Cold stable",40.3,0
"Cold stable",40.4,0
"Cold stable",40.5,0
"Cold stable",40.6,0
"Cold stable",40.7,0
"Cold stable",40.8,0
"Cold stable",40.9,0
"Cold stable",41,0
"Cold stable",41.1,0
"Cold stable",41.2,0
"Cold stable",41.3,0
"Cold stable",41.4,0
"Cold stable",41.5,0
"Cold stable",41.6,0
"Cold stable",41.7,0
"Cold stable",41.8,0
"Cold stable",41.9,0
"Cold stable",42,0
"Cold stable",42.1,0
"Cold stable",42.2,0
"Cold stable",42.3,0
"Cold stable",42.4,0
"Cold stable",42.5,0
"Cold stable",42.6,0
"Cold stable",42.7,0
"Cold stable",42.8,0
"Cold stable",42.9,0
"Cold stable",43,0
"Cold stable",43.1,0
"Cold stable",43.2,0
"Cold stable",43.3,0
"Cold stable",43.4,0
"Cold stable",43.5,0
"Cold stable",43.6,0
"Cold stable",43.7,0
"Cold stable",43.8,0
"Cold stable",43.9,0
"Cold stable",44,0
"Cold stable",44.1,0
"Cold stable",44.2,0
"Cold stable",44.3,0
"Cold stable",44.4,0
"Cold stable",44.5,0
"Cold stable",44.6,0
"Cold stable",44.7,0
"Cold stable",44.8,0
"Cold stable",44.9,0
"Cold stable",45,0
"Cold stable",45.1,0
"Cold stable",45.2,0
"Cold stable",45.3,0
"Cold stable",45.4,0
"Cold stable",45.5,0
"Cold stable",45.6,0
"Cold stable",45.7,0
"Cold stable",45.8,0
"Cold stable",45.9,0
"Cold stable",46,0
"Cold stable",46.1,0
"Cold stable",46.2,0
"Cold stable",46.3,0
"Cold stable",46.4,0
"Cold stable",46.5,0
"Cold stable",46.6,0
"Cold stable",46.7,0
"Cold stable",46.8,0
"Cold stable",46.9,0
"Cold stable",47,0
"Cold stable",47.1,0
"Cold stable",47.2,0
"Cold stable",47.3,0
"Cold stable",47.4,0
"Cold stable",47.5,0
"Cold stable",47.6,0
"Cold stable",47.7,0
"Cold stable",47.8,0
"Cold stable",47.9,0
"Cold stable",48,0
"Cold stable",48.1,0
"Cold stable",48.2,0
"Cold stable",48.3,0
"Cold stable",48.4,0
"Cold stable",48.5,0
"Cold stable",48.6,0
"Cold stable",48.7,0
"Cold stable",48.8,0
"Cold stable",48.9,0
"Cold stable",49,0
"Cold stable",49.1,0
"Cold stable",49.2,0
"Cold stable",49.3,0
"Cold stable",49.4,0
"Cold stable",49.5,0
"Cold stable",49.6,0
"Cold stable",49.7,0
"Cold stable",49.8,0
"Cold stable",49.9,0
"Cold stable",50,0
"Cold stable",50.1,0
"Cold stable",50.2,0
"Cold stable",50.3,0
"Cold stable",50.4,0
"Cold stable",50.5,0
"Cold stable",50.6,0
"Cold stable",50.7,0
"Cold stable",50.8,0
"Cold stable",50.9,0
"Cold stable",51,0
"Cold stable",51.1,0
"Cold stable",51.2,0
"Cold stable",51.3,0
"Cold stable",51.4,0
"Cold stable",51.5,0
"Cold stable",51.6,0
"Cold stable",51.7,0
"Cold stable",51.8,0
"Cold stable",51.9,0
"Cold stable",52,0
"Cold stable",52.1,0
"Cold stable",52.2,0
"Cold stable",52.3,0
"Cold stable",52.4,0
"Cold stable",52.5,0
