"Climate profile","Temp_continuous","Proportion_continuous"
"Cold variable",-4.7,0.10278566722973
"Cold variable",-4.6,0.104607567567568
"Cold variable",-4.5,0.106533994932432
"Cold variable",-4.4,0.108562364864865
"Cold variable",-4.3,0.110690092905405
"Cold variable",-4.2,0.112914594594595
"Cold variable",-4.1,0.115233285472973
"Cold variable",-4,0.117643581081081
"Cold variable",-3.9,0.120142896959459
"Cold variable",-3.8,0.122728648648649
"Cold variable",-3.7,0.125398251689189
"Cold variable",-3.6,0.128149121621622
"Cold variable",-3.5,0.130978673986486
"Cold variable",-3.4,0.133884324324324
"Cold variable",-3.3,0.136863488175676
"Cold variable",-3.2,0.139913581081081
"Cold variable",-3.1,0.143032018581081
"Cold variable",-3,0.146216216216216
"Cold variable",-2.9,0.149463589527027
"Cold variable",-2.8,0.152771554054054
"Cold variable",-2.7,0.156137525337838
"Cold variable",-2.6,0.159558918918919
"Cold variable",-2.5,0.163033150337838
"Cold variable",-2.4,0.166557635135135
"Cold variable",-2.3,0.170129788851351
"Cold variable",-2.2,0.173747027027027
"Cold variable",-2.1,0.177406765202703
"Cold variable",-2,0.181106418918919
"Cold variable",-1.9,0.184843403716216
"Cold variable",-1.8,0.188615135135135
"Cold variable",-1.7,0.192419028716216
"Cold variable",-1.6,0.1962525
"Cold variable",-1.5,0.200112964527027
"Cold variable",-1.4,0.203997837837838
"Cold variable",-1.3,0.207904535472973
"Cold variable",-1.2,0.211830472972973
"Cold variable",-1.1,0.215773065878378
"Cold variable",-1,0.21972972972973
"Cold variable",-0.899999999999999,0.223697880067568
"Cold variable",-0.8,0.227674932432432
"Cold variable",-0.7,0.231658302364865
"Cold variable",-0.6,0.235645405405405
"Cold variable",-0.5,0.239633657094595
"Cold variable",-0.399999999999999,0.243620472972973
"Cold variable",-0.3,0.247603268581081
"Cold variable",-0.199999999999999,0.251579459459459
"Cold variable",-0.0999999999999996,0.255546461148649
"Cold variable",0,0.259501689189189
"Cold variable",0.100000000000001,0.263442559121622
"Cold variable",0.2,0.267366486486487
"Cold variable",0.300000000000001,0.271270886824324
"Cold variable",0.4,0.275153175675676
"Cold variable",0.5,0.279010768581081
"Cold variable",0.600000000000001,0.282841081081081
"Cold variable",0.7,0.286641528716216
"Cold variable",0.800000000000001,0.290409527027027
"Cold variable",0.9,0.294142491554054
"Cold variable",1,0.297837837837838
"Cold variable",1.1,0.301492981418919
"Cold variable",1.2,0.305105337837838
"Cold variable",1.3,0.308672322635135
"Cold variable",1.4,0.312191351351351
"Cold variable",1.5,0.315659839527027
"Cold variable",1.6,0.319075202702703
"Cold variable",1.7,0.322434856418919
"Cold variable",1.8,0.325736216216216
"Cold variable",1.9,0.328976697635135
"Cold variable",2,0.332153716216216
"Cold variable",2.1,0.3352646875
"Cold variable",2.2,0.338307027027027
"Cold variable",2.3,0.341278150337838
"Cold variable",2.4,0.344175472972973
"Cold variable",2.5,0.346996410472973
"Cold variable",2.6,0.349738378378378
"Cold variable",2.7,0.35239879222973
"Cold variable",2.8,0.354975067567568
"Cold variable",2.9,0.357464619932433
"Cold variable",3,0.359864864864865
"Cold variable",3.1,0.362173217905405
"Cold variable",3.2,0.364387094594595
"Cold variable",3.3,0.366503910472973
"Cold variable",3.4,0.368521081081081
"Cold variable",3.5,0.370436021959459
"Cold variable",3.6,0.372246148648649
"Cold variable",3.7,0.373948876689189
"Cold variable",3.8,0.375541621621622
"Cold variable",3.9,0.377021798986486
"Cold variable",4,0.378386824324324
"Cold variable",4.1,0.379634113175676
"Cold variable",4.2,0.380761081081081
"Cold variable",4.3,0.381765143581081
"Cold variable",4.4,0.382643716216216
"Cold variable",4.5,0.383394214527027
"Cold variable",4.6,0.384014054054054
"Cold variable",4.7,0.384500650337838
"Cold variable",4.8,0.384851418918919
"Cold variable",4.9,0.385063775337838
"Cold variable",5,0.385135135135135
"Cold variable",5.1,0.385104932432432
"Cold variable",5.2,0.385015135135135
"Cold variable",5.3,0.384866959459459
"Cold variable",5.4,0.384661621621622
"Cold variable",5.5,0.384400337837838
"Cold variable",5.6,0.384084324324324
"Cold variable",5.7,0.383714797297297
"Cold variable",5.8,0.383292972972973
"Cold variable",5.9,0.382820067567568
"Cold variable",6,0.382297297297297
"Cold variable",6.1,0.381725878378378
"Cold variable",6.2,0.381107027027027
"Cold variable",6.3,0.380441959459459
"Cold variable",6.4,0.379731891891892
"Cold variable",6.5,0.378978040540541
"Cold variable",6.6,0.378181621621622
"Cold variable",6.7,0.377343851351351
"Cold variable",6.8,0.376465945945946
"Cold variable",6.9,0.375549121621622
"Cold variable",7,0.374594594594595
"Cold variable",7.1,0.373603581081081
"Cold variable",7.2,0.372577297297297
"Cold variable",7.3,0.371516959459459
